id,event_type,latitude,longitude,endlatitude,endlongitude,address,end_address,event_cause,requires_road_closure,start_datetime,end_datetime,status,authenticated,modified_datetime,direction,description,veh_type,veh_no,corridor,priority,cargo_material,reason_breakdown,age_of_truck,created_date,route_path,client_id,created_by_id,last_modified_by_id,assigned_to_police_id,citizen_accident_id,police_station,kgid,resolved_at_address,resolved_at_latitude,resolved_at_longitude,closed_by_id,closed_datetime,resolved_by_id,resolved_datetime,gba_identifier,zone,junction,priority_binary,resolution_minutes,hour,day_of_week,month,is_weekend,is_peak,event_cause_grouped,cause_peak_interaction,corridor_grouped,veh_type_clean,description_clean,geo_bin,geo_density,corridor_incident_count,corridor_closure_rate,corridor_high_priority_rate,hotspot_cluster
FKID000000,unplanned,13.0400041,77.5180991,0.0,0.0,"Mumbai Bengaluru Highway, Jalahalli Cross Junction, Peenya, Bengaluru, Karnataka. Pin-560058 (India)",,vehicle_breakdown,0,2024-03-07 17:01:48.111000+00:00,,closed,yes,2024-03-07 19:35:47.871698+00:00,,s m circle in coming  man track,lcv,FKN00GL0000,Tumkur Road,High,,,,2024-03-07 17:03:51.164032+00:00,,1,FKUSR00000,FKUSR00001,,,Peenya,FKKG000000,,,,,,,,,,,1,,17,3,3,0,1,vehicle_breakdown,vehicle_breakdown_1,Tumkur Road,lcv,s m circle in coming  man track,13.04_77.518,16,458,0.026200873362445413,0.9912663755458515,0
FKID000001,unplanned,12.9218755,77.6451585,0.0,0.0,"19th Main Road, Heavie Halcyon, Agara, HSR Layout, Bengaluru, Karnataka. Pin-560102 (India)",,vehicle_breakdown,0,2024-01-30 04:07:24.173000+00:00,,resolved,yes,2024-01-30 04:17:46.828979+00:00,,Starting problem,heavy_vehicle,FKN00GL0001,ORR East 1,High,,,,2024-01-30 04:08:22.954979+00:00,,1,FKUSR00002,FKUSR00001,,,HSR Layout,FKKG000001,"19th Main Road, Heavie Halcyon, Agara, HSR Layout, Bengaluru, Karnataka. Pin-560102 (India)",12.9218755,77.6451585,,,FKUSR00002,2024-01-30 04:17:46.828355+00:00,,,,1,10.37758925,4,1,1,0,0,vehicle_breakdown,vehicle_breakdown_0,ORR East 1,heavy_vehicle,starting problem,12.922_77.645,4,244,0.07377049180327869,1.0,1
FKID000002,unplanned,12.955622,77.5857083,0.0,0.0,"Lalbagh Main Road, Dr Sri Shantaveera Swami Circle, Mavalli, Bengaluru, Karnataka. Pin-560004 (India)",,others,0,2023-11-11 06:18:03.343000+00:00,,closed,yes,2024-01-30 04:56:03.282003+00:00,,ಊರ್ವಶಿ ಜಂಕ್ಷನ್ ನಲ್ಲಿ ಒಳಚರಂಡಿ ಚೇಂಬರ್ ಗೆ ಹೊಸದಾಗಿ ಸಿಮೆಂಟ್ ಹಾಕಿದ್ದು ಟ್ರಾಫಿಕ್ ಮೂವ್ಮೆಂಟ್ ಸ್ವಲ್ಪ ನಿಧಾನಗತಿಯಲ್ಲಿ ಇರುತ್ತದೆ ಸರ್🙏,,,Non-corridor,Low,,,,2023-11-11 06:20:00.989398+00:00,,1,FKUSR00003,FKUSR00001,,,Wilson Garden,FKKG000002,,,,FKUSR00003,2024-01-30 04:56:03.281509+00:00,,,Bengaluru Central Corporation,Central Zone 2,UrvashiJunction,0,,6,5,11,1,0,others,others_0,Non-corridor,unknown,ಊರ್ವಶಿ ಜಂಕ್ಷನ್ ನಲ್ಲಿ ಒಳಚರಂಡಿ ಚೇಂಬರ್ ಗೆ ಹೊಸದಾಗಿ ಸಿಮೆಂಟ್ ಹಾಕಿದ್ದು ಟ್ರಾಫಿಕ್ ಮೂವ್ಮೆಂಟ್ ಸ್ವಲ್ಪ ನಿಧಾನಗತಿಯಲ್ಲಿ ಇರುತ್ತದೆ ಸರ್🙏,12.956_77.586,4,3124,0.12099871959026888,0.0,0
FKID000003,unplanned,13.0061469,77.5794348,13.0062394,77.5795156,"Sankey Road, Bashyam Circle, Sadashiva Nagar, Bengaluru, Karnataka. Pin-560080 (India)","Sankey Road, Palace Orchard Upper, Sadashiva Nagar, Bengaluru, Karnataka. Pin-560080 (India)",tree_fall,1,2024-03-07 17:56:55.061000+00:00,,closed,yes,2024-03-14 07:42:05.550050+00:00,,tree fall,,,Non-corridor,Low,,,,2024-03-07 17:58:56.696892+00:00,,1,FKUSR00004,FKUSR00001,,,Sadashivanagar,FKKG000003,,,,FKUSR00004,2024-03-14 07:42:05.549440+00:00,,,,,,0,9465.174807333333,17,3,3,0,1,tree_fall,tree_fall_1,Non-corridor,unknown,tree fall,13.006_77.579,4,3124,0.12099871959026888,0.0,0
FKID000004,unplanned,12.95398,77.5852333,0.0,0.0,"Lalbagh Fort Road, Lalbagh Main Gate Junction, Wilson Garden, Bengaluru, Karnataka. Pin-560027 (India)",,vehicle_breakdown,0,2024-01-30 04:56:32.348000+00:00,,closed,yes,2024-01-30 05:35:17.339080+00:00,,[LOCATION] ಪೈಪ್ [PERSON] ವಾಹನ ಆಫ್ ಆಗಿರುತ್ತದೆ ಸರ್,private_bus,FKN00GL0002,Non-corridor,Low,,,,2024-01-30 04:58:55.937662+00:00,,1,FKUSR00003,FKUSR00001,,,Wilson Garden,FKKG000002,,,,FKUSR00003,2024-01-30 05:35:17.338283+00:00,,,,,LalbaghMainGateJunc,0,38.74983805,4,1,1,0,0,vehicle_breakdown,vehicle_breakdown_0,Non-corridor,private_bus,[location] ಪೈಪ್ [person] ವಾಹನ ಆಫ್ ಆಗಿರುತ್ತದೆ ಸರ್,12.954_77.585,8,3124,0.12099871959026888,0.0,0
FKID000005,unplanned,13.0664854,77.5998755,,,"Jakkur Layout, Amrutahalli, Amruthahalli, Bengaluru North City Corporation, Bengaluru, Yelahanka taluku, Bengaluru Urban, Karnataka, 560092, India",,accident,0,2023-11-28 03:07:27.292421+00:00,,closed,yes,2023-11-28 04:35:48.241160+00:00,,,,,Non-corridor,Low,,,,2023-11-28 03:08:23.242047+00:00,,1,FKUSR00005,FKUSR00001,FKUSR00005,FKUSR00006,Hebbala,,,,,,,,,Bengaluru North Corporation,North Zone 1,,0,,3,1,11,0,0,accident,accident_0,Non-corridor,unknown,none,13.066_77.6,1,3124,0.12099871959026888,0.0,-1
FKID000006,unplanned,12.9328703,77.4879814,0.0,0.0,"Kengeri Main Road, Ambedkar Circle, Kengeri Satellite Town, Bengaluru, Karnataka. Pin-560060 (India)",,vehicle_breakdown,0,2024-01-30 07:26:26.739000+00:00,,closed,yes,2024-01-30 09:35:47.912868+00:00,,ಬಿಎಂಟಿಸಿ ಬಸ್ ಕೆಟ್ಟು ನಿಂತಿದೆ ಸರ್,bmtc_bus,FKN00GL0003,Non-corridor,Low,,,,2024-01-30 07:28:18.053017+00:00,,1,FKUSR00007,FKUSR00001,,,Kengeri,FKKG000004,,,,,,,,,,,0,,7,1,1,0,0,vehicle_breakdown,vehicle_breakdown_0,Non-corridor,bmtc_bus,ಬಿಎಂಟಿಸಿ ಬಸ್ ಕೆಟ್ಟು ನಿಂತಿದೆ ಸರ್,12.933_77.488,2,3124,0.12099871959026888,0.0,-1
FKID000007,unplanned,12.973175,77.6003961,0.0,0.0,"State Bank of India Road, Saint Marks Circle, Shanthala Nagar, Bengaluru, Karnataka. Pin-560001 (India)",,others,0,2024-01-30 06:05:59.339000+00:00,,closed,yes,2024-02-16 01:28:18.331081+00:00,,ಕಾಫಿ ಡೇ ಇಂದ ರೋಟರಿ ಸರ್ಕಲ್ ವರೆಗೆ ಬಿ ಡಬ್ಲ್ಯೂ ಎಸ್ ಎಸ್ ಬಿ ವರ್ಕ್ ನಡೆಯುತ್ತಿರುತ್ತದೆ ಟ್ರಾಫಿಕ್ ಗೆ ಯಾವುದೇ ಸಮಸ್ಯೆ ಇರುವುದಿಲ್ಲ,,,Non-corridor,Low,,,,2024-01-30 06:08:11.015846+00:00,,1,FKUSR00008,FKUSR00001,,,Cubbon Park,FKKG000005,,,,FKUSR00008,2024-02-16 01:28:18.330429+00:00,,,,,,0,24202.316523816666,6,1,1,0,0,others,others_0,Non-corridor,unknown,ಕಾಫಿ ಡೇ ಇಂದ ರೋಟರಿ ಸರ್ಕಲ್ ವರೆಗೆ ಬಿ ಡಬ್ಲ್ಯೂ ಎಸ್ ಎಸ್ ಬಿ ವರ್ಕ್ ನಡೆಯುತ್ತಿರುತ್ತದೆ ಟ್ರಾಫಿಕ್ ಗೆ ಯಾವುದೇ ಸಮಸ್ಯೆ ಇರುವುದಿಲ್ಲ,12.973_77.6,1,3124,0.12099871959026888,0.0,0
FKID000008,planned,12.97883573,77.59953728,,,"ಲಿಂಕ್ ರಸ್ತೆ, ಅಶೋಕನಗರ, ಬೆಂಗಳೂರು ಮಧ್ಯ ನಗರ ನಿಗಮ, Bengaluru, ಬೆಂಗಳೂರು ಉತ್ತರ, ಬೆಂಗಳೂರು ನಗರ, Karnataka, 560001, India",,public_event,0,,2024-02-12 14:05:46+00:00,closed,yes,2024-02-12 14:05:46.017066+00:00,,"Cricket Match at M Chinnaswamy Satdium, [LOCATION].",,,CBD 2,High,,,,2024-01-30 05:09:41.077868+00:00,[],1,FKUSR00009,FKUSR00009,,,Cubbon Park,,,,,,,,,,,QueensStatueCircle,1,,12,3,1,0,0,public_event,public_event_0,CBD 2,unknown,"cricket match at m chinnaswamy satdium, [location].",12.979_77.6,5,104,0.0673076923076923,1.0,0
FKID000009,unplanned,13.0373543,77.6540442,0.0,0.0,"Hennuru Road, Narayana Swamy Layout, Horamavu Agara, Horamavu, Bengaluru, Karnataka. Pin-560043 (India)",,vehicle_breakdown,0,2024-01-30 05:25:50.078000+00:00,,closed,yes,2024-01-30 07:35:47.963222+00:00,,,lcv,FKN00GL0004,Non-corridor,Low,,,,2024-01-30 05:26:53.362158+00:00,,1,FKUSR00010,FKUSR00001,,,Hennuru,FKKG000006,,,,,,,,,,,0,,5,1,1,0,0,vehicle_breakdown,vehicle_breakdown_0,Non-corridor,lcv,none,13.037_77.654,1,3124,0.12099871959026888,0.0,-1
