hotspot_cluster,centroid_lat,centroid_lon,incident_count,closure_rate,high_priority_rate,top_cause
0,12.99042225553915,77.581729268551,6501,0.08121827411167512,0.6797415782187356,vehicle_breakdown
1,12.946399155352111,77.69085932923541,497,0.05835010060362173,0.8913480885311871,vehicle_breakdown
2,12.967362472727272,77.66058302727272,11,0.09090909090909091,0.0,pot_holes
3,13.010891125,77.6151533125,8,0.875,0.0,vehicle_breakdown
4,12.987500729999999,77.73498980736842,19,0.10526315789473684,0.0,vehicle_breakdown
5,13.265922383333333,77.71905575,6,0.16666666666666666,0.0,vehicle_breakdown
6,12.972467787868853,77.75003599442624,61,0.01639344262295082,0.16393442622950818,vehicle_breakdown
7,12.9454300625,77.4955625125,8,0.0,0.0,vehicle_breakdown
8,12.94297616,77.62210796,10,0.1,0.0,pot_holes
9,12.845502221904761,77.67255121952381,42,0.023809523809523808,0.023809523809523808,vehicle_breakdown
10,12.939238325,77.5585472625,8,0.375,0.0,pot_holes
11,12.96969716,77.73275459999999,5,0.0,0.0,pot_holes
12,13.022411290909092,77.60205926363636,11,0.45454545454545453,0.0,protest
13,13.1213357625,77.6183923875,8,0.125,0.0,pot_holes
14,13.045495787014925,77.64376205432836,67,0.14925373134328357,0.43283582089552236,construction
15,12.874420311764705,77.62498781176471,17,0.0,0.0,pot_holes
16,12.906712397692308,77.54821423923077,39,0.02564102564102564,0.0,vehicle_breakdown
17,12.99425774117647,77.71700481764707,17,0.23529411764705882,0.0,vehicle_breakdown
18,12.952391623076922,77.62135908461538,13,0.07692307692307693,0.0,pot_holes
19,13.082789523076922,77.5496867923077,13,0.23076923076923078,0.0,vehicle_breakdown
20,12.819992826666667,77.6878677,15,0.0,0.0,vehicle_breakdown
21,12.920896258333334,77.73648120166666,6,0.3333333333333333,0.0,congestion
22,12.87651108,77.67051986,5,0.0,0.0,vehicle_breakdown
23,12.940730047222223,77.74707245,72,0.041666666666666664,0.0,vehicle_breakdown
24,12.961962733846153,77.53432770923077,13,0.0,1.0,vehicle_breakdown
25,13.000715887499998,77.75745915607142,28,0.0,0.0,vehicle_breakdown
26,12.84072381,77.65001437999999,10,0.0,0.0,vehicle_breakdown
27,12.882880268421053,77.75401816842106,19,0.0,0.0,accident
28,12.907678541666668,77.69391312500001,6,0.3333333333333333,0.0,vehicle_breakdown
29,13.037993333333333,77.73871497777778,9,0.0,0.0,vehicle_breakdown
30,13.179323638461538,77.63782751538461,13,0.0,1.0,vehicle_breakdown
31,12.938493766666667,77.63474445833333,12,0.0,1.0,water_logging
32,13.257304199999998,77.71259222857144,7,0.0,0.0,vehicle_breakdown
33,12.890050099999998,77.56400785454547,11,0.0,0.0,vehicle_breakdown
34,13.19068762,77.64576065,10,0.0,1.0,vehicle_breakdown
35,13.0109805,77.506541925,8,0.125,0.0,vehicle_breakdown
36,12.88169834142857,77.54495773,7,0.14285714285714285,0.0,vehicle_breakdown
37,12.903864868461538,77.47031493076923,13,0.3076923076923077,1.0,vehicle_breakdown
38,13.068182308333334,77.651276925,12,0.0,0.0,construction
39,13.062665419999998,77.50556348,5,0.0,0.0,vehicle_breakdown
40,13.11404135263158,77.57879380526315,19,0.0,0.0,vehicle_breakdown
41,13.011065383333333,77.624733,6,0.0,1.0,vehicle_breakdown
42,12.987371029444445,77.47515584611112,18,0.3333333333333333,0.0,vehicle_breakdown
43,13.066112722222222,77.6411215,9,0.2222222222222222,0.0,construction
44,12.874516874,77.541642762,5,0.0,0.0,vehicle_breakdown
45,13.0265705,77.52003081666668,6,0.16666666666666666,0.0,vehicle_breakdown
46,13.054098878333333,77.76238769000001,6,0.3333333333333333,0.0,vehicle_breakdown
47,13.1844226,77.680216,5,0.0,0.0,construction
48,12.912266804285716,77.48538333428571,7,0.5714285714285714,1.0,others
49,13.096734532500001,77.5645638275,8,0.0,0.0,accident
50,13.04561092857143,77.74988011428572,7,0.2857142857142857,0.0,vehicle_breakdown
51,13.03212199368421,77.5616294094737,19,0.15789473684210525,0.0,tree_fall
52,13.061040022,77.575841114,5,0.2,0.0,tree_fall
53,12.87893872,77.61023587999999,15,0.0,0.0,pot_holes
54,13.004806616666668,77.63657511666666,6,0.16666666666666666,0.0,accident
55,12.80151064,77.7111917,5,0.0,0.0,construction
56,13.057675425,77.54632725833333,12,0.08333333333333333,0.0,vehicle_breakdown
57,13.057850233333333,77.6326397,12,0.0,1.0,vehicle_breakdown
58,12.919703098571429,77.54304957571428,7,0.0,0.0,vehicle_breakdown
59,13.22957485,77.69029533333334,6,0.0,0.0,vehicle_breakdown
60,13.02715435,77.6203155375,8,0.0,0.0,vehicle_breakdown
61,12.876729800000001,77.61663134285713,7,0.0,0.0,pot_holes
62,12.887328980000001,77.73819834,5,0.2,0.0,vehicle_breakdown
63,12.901768839999999,77.66054421999999,5,0.2,0.0,others
64,13.102684966666667,77.62779585,6,0.0,0.0,accident
65,12.95569486,77.67758841999999,5,0.2,1.0,construction
